-170.00000 -0.00301
-160.00000 0.035441
-150.00000 0.07786
-140.00000 0.08712
-130.00000 0.07116
-120.00000 0.09403
-110.00000 0.19206
-100.00000 0.29029
-90.00000 0.30418
-80.00000 0.233181
-70.00000 0.127105
-63.63922 0.063545
-60.00000 0.034314
-50.00000 0.00502
-40.00000 0.09694
-30.00000 0.33356
-20.00000 0.64095
-10.00000 0.85833
0.00000 0.87297
10.00000 0.70631
20.00000 0.45869
30.00000 0.24982
40.00000 0.13908
50.00000 0.10498
60.00000 0.105993
70.00000 0.116193
80.00000 0.01261
90.00000 0.1485
100.00000 0.13699
110.00000 0.0836
120.00000 0.05119
130.00000 0.09306
140.00000 0.16016
150.00000 -0.19227
160.00000 0.127957
170.00000 0.052724
180.00000 0
